Username,Password,"User Type","First Name","Last Name","Phone no.",STATUS
0001@gmail.com,12345678,Recruiter,Allen,Joseph,2212342424,inactive
admin@admin.com,admin123,admin,Admin,1,8921669826,inactive
aj5@gmail.com,123456789,Recruiter,aj,aj,48595595,inactive
alarrow@gmail.com,allenxa143@gmail.com,Recruiter,Allen,Joseph,1235898522,inactive
allen1339@gmail.com,123456789,Recruiter,Allen,Joseph,4,inactive
allen1@gmail.com,123456789,Recruiter,Allen,Joseph,94961715,inactive
allen1@gmailts,123,Recruiter,Allena,a,1234321,inactive
allen2@gmail.com,123456789,Recruiter,Allen,Joseph,123123,inactive
allen3434@gmail.com,allen3434@gmail.com,"Job Seeker",Joel,Joseph,5242344443,inactive
allen4@gmail.com,allen4@gmail.com,Recruiter,Allen,Joseph,8921564588,inactive
allen5454@gmail.com,allen5454@gmail.com,Recruiter,Allen,Joseph,9945443454,inactive
allen8@gmail.com,allen8@gmail.com,Recruiter,Allen,Joseph,8954798465,inactive
allen9@gmail.com,allen9@gmail.com,"Job Seeker",Aman,Mohan,3324235325,inactive
allenxavier456@gmail.com,allenxavier456@gmail.com,Recruiter,Allen,Joseph,8921634324,inactive
allenxavier45@gmail.com,1234,Recruiter,Allen,Joseph,94959645,inactive
aman@gmail.com,12345678,Recruiter,aman123,moham,94961815,inactive
arrow1337@gmail,123456789,"Job Seeker",Roshan,Prince,8921661337,inactive
arrow1337@gmail.com,123456789,"Job Seeker",Aaron,Peter,6,inactive
bas1@gmail.com,123456,Recruiter,Bas,ith,8921669,inactive
Bas223@gqaie54a.in,123,Recruiter,wer,wer,8921343,inactive
Bas2@gmail.com,123456789,"Job Seeker",Bas,ith,892166,inactive
Bas2wewe23@gmail.com,Bas2wewe23@gmail.com,Recruiter,Allena,Joseph,4353453453,inactive
bas3@gmail.com,123456789,"Job Seeker",Bas,Ith,892166982,inactive
Bas543@gmail.com,Bas543@gmail.com,Recruiter,Allen,Joseph,1238521475,inactive
Bas586785@gmail.com,Bas586785@gmail.com,Recruiter,Allen,Joseph,1253456521,inactive
bas@gmail.com,123,Recruiter,Bas,ith,94967878,inactive
ben@gmail.com,123456789,"Job Seeker",Ivanna,Dover,94959495,inactive
blag@gmail.com,123456789,Recruiter,Joel,adasd,949568,inactive
cliffy@gmail.com,123456789,Recruiter,Cliffy,Joe,123589858,inactive
damn@gmail.com,1234567,"Job Seeker",Damn,Son,89216698,inactive
danger@gmail.com,123456789,"Job Seeker",supa,dangera,12345678,inactive
ded@gmail.com,123,Recruiter,Allenaj,Joseph,123,inactive
finaltest2@gmail.com,123,Recruiter,Allen,a,2,inactive
finaltest@gmail.com,123456789,Recruiter,Allen,Joseph,1,inactive
hey1338@gmail.com,hey1338@gmail.com,Recruiter,Allen,Joseph,1236548521,inactive
hey1339@gmail.com,hey1339@gmail.com,"Job Seeker",Allen,Joseph,1236548522,inactive
jer534@gmail.com,jer534@gmail.com,Recruiter,Allen,Joseph,8954698578,inactive
jer@gmail.com,123,"Job Seeker",Jerin,Joe,949594,inactive
jjwin@gmail.com,jjwin@gmail.com,Recruiter,Joel,Joseph,1234568754,inactive
joel101@gmail.com,123456,Recruiter,Allen,a,94959797,inactive
joel1434301@gmail.com,joel1434301@gmail.com,Recruiter,Allen,Joseph,8923454526,inactive
roshan1339@gmail.com,123456789,"Job Seeker",Roshan,Prince,892166135,inactive
stiff@gmail.com,1234567,Recruiter,Cliffy,Wet,1234567,inactive
test9876@gmail.com,123456789,Recruiter,Allen,Joseph,1236542495,inactive
testttr45@gmail.com,testttr45@gmail.com,Recruiter,Allen,Joseph,1296584555,inactive
yash007@gmail.com,yash007@gmail.com,Recruiter,Yash,Want,9633070125,inactive
yash008@gmail.com,yash008@gmail.com,"Job Seeker",Yash,want2,9633070126,inactive
yashw@gmail.com,123456789,"Job Seeker",Yashwant,Jr.,8921669855,inactive
